Date,Open,High,Low,Close,Volume,Adj Close
1997-06-19,89.609299,90.50,89.375,90.234299,2029900,65.139101
1997-06-18,89.125,89.625,88.968697,89.3125,1971900,64.473665
1997-06-17,89.4375,90.234299,88.9375,89.625,2048100,64.699255
1997-06-16,89.75,90.00,89.468697,89.75,800400,64.789491
1997-06-13,89.0625,90.00,88.906197,89.718697,2132900,64.766894
1997-06-12,87.875,89.00,87.5625,88.968697,4273300,64.225477
1997-06-11,87.00,87.406197,86.828102,87.281197,1673800,63.007291
1997-06-10,86.843697,87.406197,86.50,87.078102,1217500,62.860679
1997-06-09,86.4375,86.875,86.343697,86.8125,1823400,62.668944
1997-06-06,84.593697,86.4375,84.593697,86.375,1511100,62.353118
1997-06-05,84.593697,85.3125,84.421799,84.718697,1180800,61.157451
1997-06-04,84.531197,84.75,84.078102,84.406197,1063100,60.931861
1997-06-03,84.406197,85.4375,84.343697,84.50,1562100,60.999577
1997-06-02,85.343697,85.50,84.718697,84.781197,1479100,61.202569
1997-05-30,83.218697,85.5625,83.125,85.156197,2143300,61.473278
1997-05-29,85.093697,85.25,84.50,84.609299,1282700,61.078478
1997-05-28,85.125,85.453102,84.515602,85.109299,716700,61.439422
1997-05-27,84.375,85.531197,84.265602,85.125,1531000,61.450757
1997-05-23,84.375,85.218697,84.156197,84.781197,644400,61.202569
1997-05-22,84.375,84.468697,83.5625,84.00,907600,60.638633
1997-05-21,84.6875,84.984299,83.656197,84.281197,1208000,60.841625
1997-05-20,83.281197,84.6875,82.75,84.468697,1756400,60.976979
1997-05-19,83.3125,83.906197,83.0625,83.468697,1375800,60.255091
1997-05-16,84.125,84.3125,83.00,83.218697,1934200,60.074619
1997-05-15,83.8125,84.593697,83.515602,84.375,884100,60.909341
1997-05-14,84.234299,84.50,83.4375,83.8125,2772000,60.503278
1997-05-13,83.9375,84.093697,83.015602,83.656197,1195100,60.390445
1997-05-12,82.9375,84.25,82.875,84.00,2357900,60.638633
1997-05-09,82.968697,83.125,81.656197,82.625,2558200,59.646036
1997-05-08,81.3125,83.218697,81.1875,82.0625,2923700,59.239974
1997-05-07,83.00,83.00,81.406197,81.50,2327200,58.833911
1997-05-06,82.968697,83.468697,82.50,83.3125,1721100,60.142334
1997-05-05,81.656197,83.5625,81.296799,83.375,3636200,60.187452
1997-05-02,80.281197,81.671799,80.0625,81.4375,1448300,58.788793
1997-05-01,80.218697,80.531197,79.3125,80.00,2149500,57.751079
1997-04-30,79.25,80.6875,79.218697,80.093697,3372200,57.818717
1997-04-29,78.593697,79.781197,78.296799,79.718697,3197400,57.548009
1997-04-28,76.50,77.8125,76.375,77.281197,1666500,55.788406
1997-04-25,77.0625,77.203102,76.421799,76.531197,1606200,55.246989
1997-04-24,78.046799,78.281197,76.875,77.421799,2689900,55.889905
1997-04-23,77.656197,78.031197,77.1875,77.8125,2047700,56.171948
1997-04-22,76.109299,77.734299,76.00,77.734299,3215000,56.115495
1997-04-21,76.75,76.906197,75.468697,76.0625,2809400,54.908643
1997-04-18,76.8125,76.984299,76.25,76.5625,1702100,55.269587
1997-04-17,76.50,77.00,76.00,76.1875,1386000,54.998879
1997-04-16,75.375,76.609299,75.25,76.50,2273300,55.224469
1997-04-15,75.25,75.640602,74.50,75.625,2760400,54.592816
1997-04-14,73.734299,74.453102,73.3125,74.359299,3988500,53.679121
1997-04-11,75.0625,75.3125,73.375,73.375,4221600,52.968567
1997-04-10,76.093697,76.546799,75.6875,75.781197,1996500,54.705573
1997-04-09,77.00,77.046799,75.843697,76.0625,2453200,54.908643
1997-04-08,76.125,76.781197,75.843697,76.6875,1822700,55.359823
1997-04-07,76.1875,76.625,76.140602,76.140602,2596200,54.965024
1997-04-04,74.50,75.859299,74.156197,75.843697,3706700,54.750691
1997-04-03,74.4375,75.125,74.1875,74.906197,2284200,54.073921
1997-04-02,75.625,75.9375,74.4375,74.50,2672700,53.780692
1997-04-01,75.25,76.1875,75.046799,75.859299,3210900,54.761954
1997-03-31,76.906197,77.125,75.25,75.375,4270700,54.412344
1997-03-27,79.375,79.375,76.156197,77.00,2898500,55.585413
1997-03-26,79.0625,79.656197,78.6875,79.093697,1335300,57.096829
1997-03-25,79.343697,79.968697,78.531197,78.75,2125800,56.848718
1997-03-24,78.50,79.578102,78.093697,79.531197,2145600,57.412655
1997-03-21,78.6875,78.75,78.343697,78.4375,2810600,56.623128
1997-03-20,78.75,79.00,77.875,78.375,1808200,56.362167
1997-03-19,78.843697,79.50,78.0625,78.781197,1510000,56.654277
1997-03-18,80.00,80.109299,78.718697,79.046799,1352500,56.845281
1997-03-17,79.25,80.031197,78.4375,79.906197,3013500,57.463303
1997-03-14,79.640602,80.031197,79.25,79.6875,1642700,57.306031
1997-03-13,80.25,80.468697,79.0625,79.281197,2514100,57.013844
1997-03-12,81.3125,81.343697,80.296799,80.531197,1055600,57.912763
1997-03-11,81.75,81.796799,81.25,81.25,624600,58.429679
1997-03-10,80.9375,81.6875,80.546799,81.6875,1074900,58.7443
1997-03-07,80.4375,81.156197,80.25,80.843697,1859300,58.137492
1997-03-06,80.625,80.906197,79.875,80.125,1528500,57.620653
1997-03-05,79.718697,80.593697,79.453102,80.593697,1254800,57.957708
1997-03-04,79.906197,80.125,79.093697,79.25,1478700,56.99141
1997-03-03,78.75,79.75,78.6875,79.6875,1210400,57.306031
1997-02-28,79.25,79.875,79.0625,79.156197,2961200,56.923953
1997-02-27,80.8125,80.8125,79.375,79.390602,1813100,57.092522
1997-02-26,81.3125,81.4375,79.625,80.593697,1597800,57.957708
1997-02-25,81.406197,81.531197,80.875,81.390602,1653900,58.530791
1997-02-24,79.968697,81.375,79.968697,81.328102,787300,58.485845
1997-02-21,80.406197,80.765602,80.140602,80.375,1844400,57.800436
1997-02-20,81.031197,81.359299,80.156197,80.343697,1193900,57.777925
1997-02-19,81.656197,82.00,81.156197,81.328102,648100,58.485845
1997-02-18,81.343697,81.9375,80.75,81.875,833100,58.879138
1997-02-14,81.1875,81.468697,80.906197,81.1875,1112900,58.384733
1997-02-13,80.8125,81.5625,80.6875,81.375,1104800,58.519571
1997-02-12,79.375,80.640602,79.265602,80.50,2675400,57.890328
1997-02-11,78.781197,79.375,78.125,79.375,1664300,57.081302
1997-02-10,79.25,79.531197,78.421799,78.468697,1670000,56.429548
1997-02-07,78.8125,79.25,77.781197,79.218697,2321000,56.968899
1997-02-06,77.781197,78.203102,77.406197,78.156197,2483100,56.204818
1997-02-05,79.234299,79.468697,77.125,77.640602,2255400,55.834036
1997-02-04,78.75,79.203102,78.4375,79.125,654100,56.901518
1997-02-03,78.718697,78.890602,78.359299,78.640602,755000,56.553171
